id,title,Rating,maincateg,platform,price1,actprice1,Offer %,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,Discount_Amount,cumulative_ratings
16695,Fashionable & Comfortable Bellies For Women  (Brown),3.9,Women,Flipkart,698,999,30.13,38.0,7.0,17.0,9.0,6.0,3,3,0,301,3.9
5120,Combo Pack of 4 Casual Shoes Sneakers For Men  (Multicolor),3.8,Men,Flipkart,999,1999,50.03,531.0,69.0,264.0,92.0,73.0,29,73,1,1000,7.699999999999999
18391,Cilia Mode Leo Sneakers For Women  (White),4.4,Women,Flipkart,2749,4999,45.01,17.0,4.0,11.0,3.0,2.0,1,0,1,2250,12.1
495,Men Black Sports Sandal,4.2,Men,Flipkart,518,724,15.85,46413.0,6229.0,1045.0,12416.0,5352.0,701,4595,1,206,16.3
16408,Men Green Sports Sandal,3.9,Men,Flipkart,1379,2299,40.02,77.0,3.0,35.0,21.0,7.0,7,7,1,920,20.2
2692,Women Pink Flats Sandal,4.1,Women,Flipkart,359,499,28.06,274.0,25.0,153.0,49.0,34.0,15,23,0,140,24.299999999999997
3236,Women Navy Heels Sandal,4.0,Women,Flipkart,499,999,50.05,249.0,31.0,130.0,52.0,27.0,9,28,1,500,28.299999999999997
14633,Women Blue Wedges Sandal,3.9,Women,Flipkart,209,1299,83.91,121.0,17.0,63.0,25.0,14.0,9,12,0,1090,32.199999999999996
1872,Sneakers For Women  (Pink),4.2,Women,Flipkart,549,999,45.05,191.0,30.0,120.0,25.0,31.0,7,12,1,450,36.4
1668,"Men Black, Beige Sandal",4.1,Men,Flipkart,809,899,10.01,36126.0,5028.0,18688.0,9899.0,3709.0,1272,2558,0,90,40.5
12634,TEMPO Men's Combo Pack of 3 Synthetic Loafers & 2 Sneakers - Multicolour,3.3,Men,Amazon,999,999,0.0,222.0,147.0,26.0,4.0,18.0,15,37,1,0,43.8
19065,Women Gold Heels Sandal,4.0,Women,Flipkart,599,1299,53.89,22.0,3.0,12.0,3.0,4.0,1,2,1,700,47.8
17455,Flip Flops,4.1,Women,Flipkart,299,599,50.08,41.0,9.0,19.0,13.0,5.0,3,1,1,300,51.9
7526,Slippers,4.4,Women,Flipkart,599,1199,50.04,101.0,16.0,68.0,20.0,5.0,5,3,1,600,56.3
15555,adilette CF+ logo Slides,4.5,Men,Flipkart,1979,3599,45.01,141.0,12.0,98.0,25.0,8.0,4,6,1,1620,60.8
18031,"Men Black, Blue Sports Sandal",4.2,Men,Flipkart,999,1999,50.03,732.0,99.0,378.0,230.0,70.0,24,30,1,1000,65.0
9354,Men Tan Sandal,4.0,Men,Flipkart,379,999,62.06,138.0,24.0,68.0,30.0,16.0,14,10,0,620,69.0
17732,Perfect Stylish Girls High Ankle Boots For Women  (Pink),4.2,Women,Flipkart,399,999,60.06,9305.0,1619.0,5660.0,1711.0,921.0,319,694,1,600,73.2
4549,Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,399,999,60.06,1353.0,202.0,698.0,258.0,174.0,77,146,0,600,77.10000000000001
2917,170 Smart Grey Lace-Ups Casuals for Men Sneakers For Men  (Grey),4.0,Men,Flipkart,236,499,52.71,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1,263,85.10000000000001
7379,Women Multicolor Flats Sandal,3.6,Women,Flipkart,175,499,64.93,569.0,63.0,249.0,97.0,74.0,49,100,1,324,88.7
10536,Stylish Flat Mules for women Bellies For Women  (Tan),4.0,Women,Flipkart,225,699,67.81,2270.0,318.0,1117.0,536.0,305.0,130,182,1,474,92.7
18886,crocs Unisex's Clogs,4.7,Women,Amazon,1596,1607,0.68,8.0,4.0,0.0,0.0,0.0,30,70,0,11,97.4
2193,GO WALK JOY-CENTERPIECE Walking Shoes For Women  (Navy),4.4,Women,Flipkart,3009,4299,30.01,215.0,14.0,142.0,43.0,15.0,3,12,1,1290,101.80000000000001
15609,flip-flops slipper for men Flip Flops,4.0,Men,Flipkart,199,599,66.78,3615.0,299.0,2155.0,441.0,352.0,206,461,1,400,105.80000000000001
17976,Flip Flops,4.1,Women,Flipkart,249,399,37.59,33.0,6.0,17.0,9.0,2.0,4,1,0,150,109.9
19308,Boots For Women  (Brown),4.2,Women,Flipkart,599,999,40.04,10.0,0.0,6.0,2.0,1.0,0,1,1,400,114.10000000000001
970,Intraflux M Running Shoes For Men  (Grey),4.1,Men,Flipkart,2165,3880,45.01,216.0,31.0,176.0,44.0,21.0,8,1,1,1715,118.2
13094,Women Black Flats Sandal,4.1,Women,Flipkart,831,1695,50.97,14.0,0.0,7.0,4.0,1.0,1,1,1,864,122.3
17412,Trendy Look Up Jeans And Kurta Pajama/Synthetic Ethnic Shoes For Men Ethnic Mule For Men  (Black),3.8,Men,Flipkart,499,999,50.05,21.0,4.0,13.0,2.0,0.0,0,6,0,500,126.1
10916,Jutis For Women  (Multicolor),4.1,Women,Flipkart,399,999,60.06,180.0,23.0,100.0,32.0,22.0,10,16,0,600,130.2
17709,Fila Men's Bryant Sneakers,3.7,Men,Amazon,564,1597,64.68,79.0,40.0,15.0,11.0,10.0,20,44,1,1033,133.89999999999998
10946,Jutis For Women  (Pink),3.9,Women,Flipkart,199,499,60.12,369.0,46.0,197.0,50.0,54.0,25,43,0,300,137.79999999999998
10528,"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight blue shoes for running, walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Blue)",4.1,Men,Flipkart,759,999,24.02,11780.0,1748.0,6343.0,2501.0,1268.0,644,1024,1,240,141.89999999999998
14244,Walking Shoes For Men  (Grey),4.0,Men,Flipkart,782,999,21.72,3180.0,475.0,1596.0,705.0,380.0,162,337,1,217,145.89999999999998
10780,Canvas Shoes For Men  (Red),4.0,Men,Flipkart,658,999,34.13,1695.0,266.0,891.0,359.0,204.0,65,176,0,341,149.89999999999998
9992,FASHION SHOE Loafers For Men  (Brown),4.3,Men,Flipkart,400,999,59.96,18.0,3.0,11.0,5.0,0.0,1,1,1,599,154.2
2851,Women Black Heels Sandal,4.0,Women,Flipkart,468,1499,68.78,550.0,103.0,283.0,120.0,72.0,27,48,0,1031,162.29999999999998
10752,"Women's/Ladies/Female/Girls Lightweight Comfortable, Casualwear Black High Ankle Length Lace-Up Boots Boots For Women Boots For Women  (Black)",4.4,Women,Flipkart,525,999,47.45,5.0,0.0,3.0,1.0,1.0,0,0,0,474,166.7
4430,Slippers,3.6,Men,Flipkart,219,349,37.25,16140.0,1926.0,6538.0,2868.0,2580.0,1442,2712,0,130,170.29999999999998
19439,Women Yellow Flats Sandal,4.5,Women,Flipkart,899,1499,40.03,69.0,5.0,42.0,21.0,5.0,2,0,1,600,174.79999999999998
1371,Women Red Heels Sandal,4.2,Women,Flipkart,1599,1699,5.89,1399.0,263.0,884.0,240.0,119.0,36,120,0,100,178.99999999999997
14621,Boots For Women  (Black),4.2,Women,Flipkart,429,999,57.06,366.0,84.0,223.0,67.0,39.0,11,26,1,570,183.19999999999996
